usageKey,scientificName,canonicalName,rank,status,confidence,matchType,kingdom,phylum,order,family,genus,species,kingdomKey,phylumKey,classKey,orderKey,familyKey,genusKey,speciesKey,synonym,class,submittedname,matchcategory,note,acceptedUsageKey
5959118,"Bubo virginianus (J.F.Gmelin, 1788)",Bubo virginianus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Strigiformes,Strigidae,Bubo,Bubo virginianus,1,44,212,1450,9348,5959091,5959118,FALSE,Aves,Bubo virginianus,Top,NA,NA
2481408,"Thalassarche chrysostoma (J.R.Forster, 1785)",Thalassarche chrysostoma,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Procellariiformes,Diomedeidae,Thalassarche,Thalassarche chrysostoma,1,44,212,7192755,5238,2481398,2481408,FALSE,Aves,Thalassarche chrysostoma,Top,NA,NA
2491119,"Ammodramus henslowii (Audubon, 1829)",Ammodramus henslowii,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Emberizidae,Ammodramus,Ammodramus henslowii,1,44,212,729,9608,2491079,2491119,FALSE,Aves,Ammodramus henslowii,Top,NA,NA
5220066,"Lagenorhynchus cruciger (Quoy & Gaimard, 1824)",Lagenorhynchus cruciger,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Cetacea,Delphinidae,Lagenorhynchus,Lagenorhynchus cruciger,1,44,359,733,5314,2440608,5220066,FALSE,Mammalia,Lagenorhynchus cruciger,Top,NA,NA
5231190,"Passer domesticus (Linnaeus, 1758)",Passer domesticus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Passeridae,Passer,Passer domesticus,1,44,212,729,5264,2492321,5231190,FALSE,Aves,Passer domesticus,Top,NA,NA
5231459,"Troglodytes aedon Vieillot, 1809",Troglodytes aedon,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Troglodytidae,Troglodytes,Troglodytes aedon,1,44,212,729,9355,2493899,5231459,FALSE,Aves,Troglodytes aedon,Top,NA,NA
5220086,"Megaptera novaeangliae (Borowski, 1781)",Megaptera novaeangliae,SPECIES,ACCEPTED,97,EXACT,Animalia,Chordata,Cetacea,Balaenopteridae,Megaptera,Megaptera novaeangliae,1,44,359,733,5313,2440748,5220086,FALSE,Mammalia,Megaptera novaeangliae,Top,NA,NA
9809568,"Megaptera novaeangliae (Brisson, 1762)",Megaptera novaeangliae,SPECIES,SYNONYM,97,EXACT,Animalia,Chordata,Cetacea,Balaenopteridae,Megaptera,Megaptera novaeangliae,1,44,359,733,5313,2440748,5220086,TRUE,Mammalia,Megaptera novaeangliae,Alternative,Similarity: name=110; authorship=0; classification=-2; rank=5; status=0,5220086
2490327,"Passerina cyanea (Linnaeus, 1766)",Passerina cyanea,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Cardinalidae,Passerina,Passerina cyanea,1,44,212,729,9285,2490326,2490327,FALSE,Aves,Passerina cyanea,Top,NA,NA
2481173,"Larus dominicanus Lichtenstein, 1823",Larus dominicanus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Charadriiformes,Laridae,Larus,Larus dominicanus,1,44,212,7192402,9316,2481126,2481173,FALSE,Aves,Larus dominicanus,Top,NA,NA
9217284,"Liris dominicanus Evans, 1972",Liris dominicanus,SPECIES,ACCEPTED,0,FUZZY,Animalia,Arthropoda,Hymenoptera,Crabronidae,Liris,Liris dominicanus,1,54,216,1457,7906,1338928,9217284,FALSE,Insecta,Larus dominicanus,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=1,NA
2434790,"Hydrurga leptonyx (de Blainville, 1820)",Hydrurga leptonyx,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Carnivora,Phocidae,Hydrurga,Hydrurga leptonyx,1,44,359,732,5310,2434789,2434790,FALSE,Mammalia,Hydrurga leptonyx,Top,NA,NA
2481374,"Phoebetria palpebrata (J.R.Forster, 1785)",Phoebetria palpebrata,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Procellariiformes,Diomedeidae,Phoebetria,Phoebetria palpebrata,1,44,212,7192755,5238,2481373,2481374,FALSE,Aves,Phoebetria palpebrata,Top,NA,NA
2481643,"Eudyptes chrysolophus (Brandt, 1837)",Eudyptes chrysolophus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Sphenisciformes,Spheniscidae,Eudyptes,Eudyptes chrysolophus,1,44,212,7190978,5284,2481633,2481643,FALSE,Aves,Eudyptes chrysolophus,Top,NA,NA
5229935,"Icterus spurius (Linnaeus, 1766)",Icterus spurius,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Icteridae,Icterus,Icterus spurius,1,44,212,729,6176,2484282,5229935,FALSE,Aves,Icterus spurius,Top,NA,NA
2489590,"Seiurus aurocapilla (Linnaeus, 1766)",Seiurus aurocapilla,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Seiurus,Seiurus aurocapilla,1,44,212,729,5263,2489584,2489590,FALSE,Aves,Seiurus aurocapilla,Top,NA,NA
2489595,"Seiurus aurocapillus (Linnaeus, 1766)",Seiurus aurocapillus,SPECIES,SYNONYM,94,FUZZY,Animalia,Chordata,Passeriformes,Parulidae,Seiurus,Seiurus aurocapilla,1,44,212,729,5263,2489584,2489590,TRUE,Aves,Seiurus aurocapilla,Alternative,Similarity: name=100; authorship=0; classification=-2; rank=5; status=0,2489590
2489871,"Protonotaria citrea (Boddaert, 1783)",Protonotaria citrea,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Parulidae,Protonotaria,Protonotaria citrea,1,44,212,729,5263,2489870,2489871,FALSE,Aves,Protonotaria citrea,Top,NA,NA
2478106,"Melanerpes carolinus (Linnaeus, 1758)",Melanerpes carolinus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Piciformes,Picidae,Melanerpes,Melanerpes carolinus,1,44,212,724,9333,2478067,2478106,FALSE,Aves,Melanerpes carolinus,Top,NA,NA
2484879,"Sitta canadensis Linnaeus, 1766",Sitta canadensis,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Sittidae,Sitta,Sitta canadensis,1,44,212,729,5283,2484878,2484879,FALSE,Aves,Sitta canadensis,Top,NA,NA
2705799,Stipa canadensis Poir.,Stipa canadensis,SPECIES,SYNONYM,0,FUZZY,Plantae,Tracheophyta,Poales,Poaceae,Piptatheropsis,Piptatheropsis canadensis,6,7707728,196,1369,3073,6560148,6560152,TRUE,Liliopsida,Sitta canadensis,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=0,6560152
2487430,"Vireo olivaceus (Linnaeus, 1766)",Vireo olivaceus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Vireonidae,Vireo,Vireo olivaceus,1,44,212,729,9358,2487406,2487430,FALSE,Aves,Vireo olivaceus,Top,NA,NA
5908820,"Vibrio olivaceus Fang, Zhang & Chen, 2005",Vibrio olivaceus,SPECIES,ACCEPTED,0,FUZZY,Bacteria,Proteobacteria,Enterobacterales,Vibrionaceae,Vibrio,Vibrio olivaceus,3,111,362,10829408,9539,6005951,5908820,FALSE,Gammaproteobacteria,Vireo olivaceus,Alternative,Similarity: name=-10; authorship=0; classification=-2; rank=5; status=1,NA
2478130,"Melanerpes erythrocephalus (Linnaeus, 1758)",Melanerpes erythrocephalus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Piciformes,Picidae,Melanerpes,Melanerpes erythrocephalus,1,44,212,724,9333,2478067,2478130,FALSE,Aves,Melanerpes erythrocephalus,Top,NA,NA
2490494,"Pheucticus ludovicianus (Linnaeus, 1766)",Pheucticus ludovicianus,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Passeriformes,Cardinalidae,Pheucticus,Pheucticus ludovicianus,1,44,212,729,9285,2490486,2490494,FALSE,Aves,Pheucticus ludovicianus,Top,NA,NA
2434788,"Ommatophoca rossii Gray, 1844",Ommatophoca rossii,SPECIES,ACCEPTED,98,EXACT,Animalia,Chordata,Carnivora,Phocidae,Ommatophoca,Ommatophoca rossii,1,44,359,732,5310,2434787,2434788,FALSE,Mammalia,Ommatophoca rossii,Top,NA,NA
