TidyBTName,canonicalName,rank,kingdom,common_name,AphiaID,Aphia_scientificname,TRY_AccSpeciesName,TR_BodyLength_mm,TR_QualitativeBodySize,TR_Mean_LengthMax,TR_adult_body_mass_g,TR_Mean_SeedMass,TR_Max_Height,Fish_Refs_Length,TRY_datasetIDs_SeedMass,TRY_datasetIDs_Height
Pterodroma inexpectata,Pterodroma inexpectata,SPECIES,Animalia,Mottled Petrel,225761,Pterodroma inexpectata,NA,NA,NA,NA,317.275,NA,NA,NA,NA,NA
Thalassarche melanophrys,Thalassarche melanophrys,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Fregetta grallaria,Fregetta grallaria,SPECIES,Animalia,White-bellied Storm Petrel,212695,Fregetta grallaria,NA,NA,NA,NA,49.5,NA,NA,NA,NA,NA
Fregetta tropica,Fregetta tropica,SPECIES,Animalia,Black-bellied Storm Petrel,212696,Fregetta tropica,NA,NA,NA,NA,52.95,NA,NA,NA,NA,NA
Pachyptila belcheri,Pachyptila belcheri,SPECIES,Animalia,Slender-billed Prion,212646,Pachyptila belcheri,NA,NA,NA,NA,145,NA,NA,NA,NA,NA
Balaenoptera borealis,Balaenoptera borealis,SPECIES,Animalia,Sei Whale,137088,Balaenoptera borealis,NA,17500,>200 mm,NA,20000000,NA,NA,NA,NA,NA
Macronectes halli,Macronectes halli,SPECIES,Animalia,Northern Giant Petrel,212637,Macronectes halli,NA,NA,NA,NA,4313,NA,NA,NA,NA,NA
Leptonychotes weddellii,Leptonychotes weddellii,SPECIES,Animalia,Weddell Seal,195932,Leptonychotes weddellii,NA,3100,NA,NA,410833.335,NA,NA,NA,NA,NA
Catharacta lonnbergi,Catharacta lonnbergi,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puffinus sp,Puffinus,GENUS,Animalia,NA,137065,Puffinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sterna vittata,Sterna vittata,SPECIES,Animalia,Antarctic Tern,225766,Sterna vittata,NA,NA,NA,NA,140,NA,NA,NA,NA,NA
Orcinus orca,Orcinus orca,SPECIES,Animalia,Killer Whale,137102,Orcinus orca,NA,8350,>200 mm,NA,4300000,NA,NA,NA,NA,NA
Morus serrator,Morus serrator,SPECIES,Animalia,Australasian Gannet,343991,Morus serrator,NA,NA,NA,NA,2350,NA,NA,NA,NA,NA
Hydrurga leptonyx,Hydrurga leptonyx,SPECIES,Animalia,Leopard seal,231417,Hydrurga leptonyx,NA,3550,NA,NA,375671.075,NA,NA,NA,NA,NA
Thalassarche carteri,Thalassarche carteri,SPECIES,Animalia,Indian Yellow-nosed Albatross,225758,Thalassarche carteri,NA,NA,NA,NA,2115,NA,NA,NA,NA,NA
Diomedea exulans,Diomedea exulans,SPECIES,Animalia,Wandering Albatross,212583,Diomedea exulans,NA,NA,NA,NA,7990,NA,NA,NA,NA,NA
Pterodroma leucoptera,Pterodroma leucoptera,SPECIES,Animalia,Gould's Petrel,225774,Pterodroma leucoptera,NA,NA,NA,NA,147.5,NA,NA,NA,NA,NA
Physeter macrocephalus,Physeter macrocephalus,SPECIES,Animalia,NA,137119,Physeter macrocephalus,NA,13500,>200 mm,NA,NA,NA,NA,NA,NA,NA
Pachyptila vittata,Pachyptila vittata,SPECIES,Animalia,Broad-billed Prion,212647,Pachyptila vittata,NA,NA,NA,NA,196,NA,NA,NA,NA,NA
Arctocephalus gazella,Arctocephalus gazella,SPECIES,Animalia,Antarctic Fur Seal,231404,Arctocephalus gazella,NA,1622.5,NA,NA,67979.43,NA,NA,NA,NA,NA
Megaptera novaeangliae,Megaptera novaeangliae,SPECIES,Animalia,Humpback Whale,137092,Megaptera novaeangliae,NA,15500,>200 mm,NA,30000000,NA,NA,NA,NA,NA
Puffinus griseus,Puffinus griseus,SPECIES,Animalia,Sooty Shearwater,137202,Puffinus griseus,NA,1053.3333333333333,NA,NA,787,NA,NA,NA,NA,NA
Hyperoodon planifrons,Hyperoodon planifrons,SPECIES,Animalia,Southern Bottlenose Whale,343900,Hyperoodon planifrons,NA,9000,>200 mm,NA,5440000,NA,NA,NA,NA,NA
Pterodroma mollis,Pterodroma mollis,SPECIES,Animalia,Soft-plumaged Petrel,137199,Pterodroma mollis,NA,NA,NA,NA,312,NA,NA,NA,NA,NA
Pterodroma lessonii,Pterodroma lessonii,SPECIES,Animalia,White-headed Petrel,212642,Pterodroma lessonii,NA,NA,NA,NA,708,NA,NA,NA,NA,NA
Puffinus tenuirostris,Puffinus tenuirostris,SPECIES,Animalia,Short-tailed Shearwater,225770,Puffinus tenuirostris,NA,NA,NA,NA,543,NA,NA,NA,NA,NA
Thalassarche chrysostoma,Thalassarche chrysostoma,SPECIES,Animalia,Grey-headed Albatross,225760,Thalassarche chrysostoma,NA,NA,NA,NA,3700,NA,NA,NA,NA,NA
Pachyptila desolata,Pachyptila desolata,SPECIES,Animalia,Antarctic Prion,212649,Pachyptila desolata,NA,NA,NA,NA,153.25,NA,NA,NA,NA,NA
Thalassarche cauta,Thalassarche cauta,SPECIES,Animalia,Shy Albatross,225902,Thalassarche cauta,NA,NA,NA,NA,4012.5,NA,NA,NA,NA,NA
Pachyptila turtur,Pachyptila turtur,SPECIES,Animalia,Fairy Prion,212648,Pachyptila turtur,NA,NA,NA,NA,138.05,NA,NA,NA,NA,NA
Cephalorhynchus commersonii,Cephalorhynchus commersonii,SPECIES,Animalia,Commerson's Dolphin,254976,Cephalorhynchus commersonii,NA,1600,>200 mm,NA,68700,NA,NA,NA,NA,NA
Eudyptes glaucoides,Eudyptes,GENUS,Animalia,NA,206769,Eudyptes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pelecanoides sp,Pelecanoides,GENUS,Animalia,NA,225749,Pelecanoides,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phalacrocorax atriceps,Phalacrocorax atriceps,SPECIES,Animalia,NA,225759,Phalacrocorax atriceps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Larus dominicanus,Larus dominicanus,SPECIES,Animalia,Kelp Gull,212624,Larus dominicanus,NA,NA,NA,NA,989,NA,NA,NA,NA,NA
Diomedea epomophora,Diomedea epomophora,SPECIES,Animalia,Southern Royal Albatross,344000,Diomedea epomophora,NA,NA,NA,NA,8200,NA,NA,NA,NA,NA
Procellaria cinerea,Procellaria cinerea,SPECIES,Animalia,Grey Petrel,212652,Procellaria cinerea,NA,NA,NA,NA,1131,NA,NA,NA,NA,NA
Pachyptila eatoni,Pachyptila,GENUS,Animalia,NA,204680,Pachyptila,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pelecanoides urinatrix,Pelecanoides urinatrix,SPECIES,Animalia,Common Diving Petrel,344007,Pelecanoides urinatrix,NA,NA,NA,NA,134,NA,NA,NA,NA,NA
Eudyptes chrysocome,Eudyptes chrysocome,SPECIES,Animalia,Southern Rockhopper Penguin,212657,Eudyptes chrysocome,NA,NA,NA,NA,2470,NA,NA,NA,NA,NA
Aptenodytes patagonicus,Aptenodytes patagonicus,SPECIES,Animalia,King Penguin,212656,Aptenodytes patagonicus,NA,NA,NA,NA,12775,NA,NA,NA,NA,NA
Pterodroma macroptera,Pterodroma macroptera,SPECIES,Animalia,Great-winged Petrel,212644,Pterodroma macroptera,NA,NA,NA,NA,578.5,NA,NA,NA,NA,NA
Mirounga leonina,Mirounga leonina,SPECIES,Animalia,Southern Elephant Seal,231413,Mirounga leonina,NA,NaN,NA,NA,1400000,NA,NA,NA,NA,NA
Pygoscelis papua,Pygoscelis papua,SPECIES,Animalia,Gentoo Penguin,225777,Pygoscelis papua,NA,NA,NA,NA,5950,NA,NA,NA,NA,NA
Phoebetria fusca,Phoebetria fusca,SPECIES,Animalia,Sooty Albatross,212632,Phoebetria fusca,NA,NA,NA,NA,2600,NA,NA,NA,NA,NA
Phoebetria sp,Phoebetria,GENUS,Animalia,NA,206325,Phoebetria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagenorhynchus cruciger,Lagenorhynchus cruciger,SPECIES,Animalia,Hourglass Dolphin,383563,Lagenorhynchus cruciger,NA,1784.2857142857142,>200 mm,NA,72400,NA,NA,NA,NA,NA
Puffinus sp9,Puffinus,GENUS,Animalia,NA,137065,Puffinus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puffinus assimilis,Puffinus assimilis,SPECIES,Animalia,Little Shearwater,137200,Puffinus assimilis,NA,NA,NA,NA,226,NA,NA,NA,NA,NA
Balaenoptera physalus,Balaenoptera physalus,SPECIES,Animalia,Fin Whale,137091,Balaenoptera physalus,NA,23625,>200 mm,NA,38800000,NA,NA,NA,NA,NA
Pterodroma sp,Pterodroma,GENUS,Animalia,NA,137064,Pterodroma,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diomedea sanfordi,Diomedea sanfordi,SPECIES,Animalia,Northern Royal Albatross,379386,Diomedea sanfordi,NA,NA,NA,NA,7870,NA,NA,NA,NA,NA
Garrodia nereis,Garrodia nereis,SPECIES,Animalia,Grey-backed Storm Petrel,293022,Garrodia nereis,NA,NA,NA,NA,34,NA,NA,NA,NA,NA
Pelagodroma marina,Pelagodroma marina,SPECIES,Animalia,White-faced Storm Petrel,212700,Pelagodroma marina,NA,430,NA,NA,47.2,NA,NA,NA,NA,NA
Puffinus gavia,Puffinus gavia,SPECIES,Animalia,Fluttering Shearwater,225752,Puffinus gavia,NA,NA,NA,NA,229.25,NA,NA,NA,NA,NA
Thalassarche eremita,Thalassarche eremita,SPECIES,Animalia,Chatham Albatross,225779,Thalassarche eremita,NA,NA,NA,NA,4012.5,NA,NA,NA,NA,NA
Diomedea royal,Diomedea,GENUS,Animalia,NA,205273,Diomedea,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Morus capensis,Morus capensis,SPECIES,Animalia,Cape Gannet,221026,Morus capensis,NA,NA,NA,NA,2652.75,NA,NA,NA,NA,NA
Eudyptula cornutus,Eudyptula,GENUS,Animalia,NA,225885,Eudyptula,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puffinus gravis,Puffinus gravis,SPECIES,Animalia,Great Shearwater,137201,Puffinus gravis,NA,NA,NA,NA,849,NA,NA,NA,NA,NA
Stercorarius parasiticus,Stercorarius parasiticus,SPECIES,Animalia,Parasitic Jaeger,137172,Stercorarius parasiticus,NA,1250,NA,NA,450,NA,NA,NA,NA,NA
