TidyBTName,canonicalName,rank,kingdom,common_name,AphiaID,Aphia_scientificname,TRY_AccSpeciesName,TR_BodyLength_mm,TR_QualitativeBodySize,TR_Mean_LengthMax,TR_adult_body_mass_g,TR_Mean_SeedMass,TR_Max_Height,Fish_Refs_Length,TRY_datasetIDs_SeedMass,TRY_datasetIDs_Height
Aphelia unitana,Aphelia unitana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphodius rufipes,Aphodius rufipes,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphomia sociella,Aphomia sociella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyresthia bergiella,Argyresthia bergiella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyresthia conjugella,Argyresthia conjugella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyresthia glabratella,Argyresthia glabratella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyresthia pygmaeella,Argyresthia pygmaeella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aroga velocella,Aroga velocella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atheta crassicornis,Atheta crassicornis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atheta macrocera,Atheta macrocera,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Autographa jota,Autographa jota,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bactra lancealana,Bactra lancealana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bena prasinana,Bena prasinana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachmia inornatella,Brachmia inornatella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryotropha affinis,Bryotropha affinis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bucculatrix bechsteiniella,Bucculatrix bechsteinella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cantharis livida,Cantharis livida,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Carpelimus obesus,Carpelimus obesus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chionodes tragicella,Chionodes tragicella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chloroclystis v-ata,Chloroclystis v-ata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chortodes fluxa,Chortodes fluxa,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cnephasia communana,Cnephasia communana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochylis nana,Cochylis nana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleophora alticolella,Coleophora alticolella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleophora caespititiella,Coleophora caespititiella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleophora laricella,Coleophora laricella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleophora otidipennella,Coleophora otidipennella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cosmopterix lienigiella,Cosmopterix lienigiella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crambus lathoniellus,Crambus lathoniellus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cryptophagus dentatus,Cryptophagus dentatus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cydia conicolana,Cydia conicolana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyphon coarctatus,Cyphon coarctatus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalopius marginatus,Dalopius marginatus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deilephila elpenor,Deilephila elpenor,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Deilephila porcellus,Deilephila porcellus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denisia albimaculea,Denisia albimaculea,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Depressaria pastinacella,Depressaria pastinacella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diarsia florida,Diarsia florida,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diarsia mendica,Diarsia mendica,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorytomus taeniatus,Dorytomus taeniatus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryocoetes autographus,Dryocoetes autographus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dryophilus pusillus,Dryophilus pusillus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectoedemia argyropeza,Ectoedemia argyropeza,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectoedemia decentella,Ectoedemia decentella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ectoedemia sericopeza,Ectoedemia sericopeza,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elachista argentella,Elachista argentella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epirrita christyi,Epirrita christyi,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Epirrita dilutata,Epirrita dilutata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupithecia abbreviata,Eupithecia abbreviata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupithecia dodoneata,Eupithecia dodoneata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupithecia subumbrata,Eupithecia subumbrata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eupithecia tantillaria,Eupithecia tantillaria,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Exapate congelatella,Exapate congelatella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hada plebeja,Hada plebeja,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hadena bicruris,Hadena bicruris,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Heliophobus reticulata,Heliophobus reticulata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hepialus lupulina,Hepialus lupulina,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hydrobius fuscipes,Hydrobius fuscipes,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Incurvaria masculella,Incurvaria masculella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Itame brunneata,Itame brunneata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lacanobia thalassina,Lacanobia thalassina,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lacanobia w-latinum,Lacanobia w-latinum,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lagria hirta,Lagria hirta,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Laothoe populi,Laothoe populi,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Leucoma salicis,Leucoma salicis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lobophora halterata,Lobophora halterata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macrochilo cribrumalis,Macrochilo cribrumalis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Malthodes minimus,Malthodes minimus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Meligethes aeneus,Meligethes aeneus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Microcara testacea,Microcara testacea,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mimas tiliae,Mimas tiliae,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mompha idaei,Mompha idaei,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mompha lacteella,Mompha lacteella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mycetophagus populi,Mycetophagus populi,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mythimna conigera,Mythimna conigera,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nemapogon cloacella,Nemapogon cloacella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nematopogon adansoniella,Nematopogon adansoniella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nola confusalis,Nola confusalis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Notocelia cynosbatella,Notocelia cynosbatella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oecophora bractella,Oecophora bractella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Oligia fasciuncula,Oligia fasciuncula,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Operophtera brumata,Operophtera brumata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthosia cerasi,Orthosia cerasi,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthosia cruda,Orthosia cruda,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Orthosia incerta,Orthosia incerta,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ostrinia nubilalis,Ostrinia nubilalis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Panolis flammea,Panolis flammea,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parastichtis suspecta,Parastichtis suspecta,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Parornix torquillella,Parornix torquillella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pennithera firmata,Pennithera firmata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phalera bucephala,Phalera bucephala,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phalonidia vectisana,Phalonidia vectisana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Phyllonorycter corylifoliella,Phyllonorycter corylifoliella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Podabrus alpinus,Podabrus alpinus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polydrusus cervinus,Polydrusus cervinus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Polymixis polymita,Polymixis polymita,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pseudohermenias abietana,Pseudohermenias abietana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ptycholoma lecheana,Ptycholoma lecheana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhizedra lutosa,Rhizedra lutosa,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhyacia simulans,Rhyacia simulans,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchaenus alni,Rhynchaenus alni,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rhynchaenus fagi,Rhynchaenus fagi,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Rusina ferruginea,Rusina ferruginea,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Scrobipalpa stangei,Scrobipalpa stangei,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sideridis albicolon,Sideridis albicolon,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spaelotis ravida,Spaelotis ravida,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Spilosoma lutea,Spilosoma lutea,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmella anomalella,Stigmella anomalella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmella basiguttella,Stigmella basiguttella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmella lemniscella,Stigmella lemniscella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmella luteella,Stigmella luteella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmella obliquella,Stigmella obliquella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stigmella oxyacanthella,Stigmella oxyacanthella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Synaphe punctalis,Synaphe punctalis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teleiodes alburnella,Teleiodes alburnella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Thera variata,Thera variata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tischeria ekebladella,Tischeria ekebladella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tomicus piniperda,Tomicus piniperda,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Xanthorhoe spadicearia,Xanthorhoe spadicearia,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ypsolopha ustella,Ypsolopha ustella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zanclognatha tarsipennalis,Zanclognatha tarsipennalis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Zophodia grossulariella,Zophodia grossulariella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macdunnoughia confusa,Macdunnoughia confusa,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Nomophila noctuella,Nomophila noctuella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haliplus ruficollis,Haliplus ruficollis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acleris aspersana,Acleris aspersana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrolepiopsis assectella,Acrolepiopsis assectella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acronicta alni,Acronicta alni,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acrotona pseudotenera,Acrotona pseudotenera,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adrastus pallens,Adrastus pallens,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aglossa pinguinalis,Aglossa pinguinalis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agonopterix conterminella,Agonopterix conterminella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agonum thoreyi,Agonum thoreyi,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrochola lota,Agrochola lota,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agrochola lychnidis,Agrochola lychnidis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aleochara bipustulata,Aleochara bipustulata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alucita hexadactyla,Alucita hexadactyla,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amischa analis,Amischa analis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amphipoea oculea,Amphipoea oculea,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anacaena lutescens,Anacaena lutescens,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anaspis maculata,Anaspis maculata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anerastia lotella,Anerastia lotella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anotylus insecatus,Anotylus insecatus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anthrenus museorum,Anthrenus museorum,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphodius plagiatus,Aphodius plagiatus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphodius rufus,Aphodius rufus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aploderus caelatus,Aploderus caelatus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Archanara dissoluta,Archanara dissoluta,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Argyresthia laevigatella,Argyresthia laevigatella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Arhopalus rusticus,Arhopalus rusticus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Assara terebrella,Assara terebrella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Atheta laticollis,Atheta laticollis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athrips mouffetella,Athrips mouffetella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Badister peltatus,Badister peltatus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bembidion obliquum,Bembidion obliquum,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Berosus spinosus,Berosus spinosus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bledius gallicus,Bledius gallicus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borkhausenia fuscescens,Borkhausenia fuscescens,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Borkhausenia minutella,Borkhausenia minutella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Brachyusa concolor,Brachyusa concolor,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bryotropha senectella,Bryotropha senectella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calathus ambiguus,Calathus ambiguus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Capua vulgana,Capua vulgana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Celaena haworthii,Celaena haworthii,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cerapteryx graminis,Cerapteryx graminis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercyon analis,Cercyon analis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercyon lateralis,Cercyon lateralis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercyon nigriceps,Cercyon nigriceps,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercyon sternalis,Cercyon sternalis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cercyon terminatus,Cercyon terminatus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chiasmia clathrata,Chiasmia clathrata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chloroclysta siterata,Chloroclysta siterata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Choristoneura hebenstreitella,Choristoneura hebenstreitella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysoclista linneella,Chrysoclista linneella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cilea silphoides,Cilea silphoides,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coccinella undecimpunctata,Coccinella undecimpunctata,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cochylidia implicitana,Cochylidia implicitana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleophora adjunctella,Coleophora adjunctella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleophora alcyonipennella,Coleophora alcyonipennella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleophora binderella,Coleophora binderella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleophora therinella,Coleophora therinella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleophora vestianella,Coleophora vestianella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Coleophora zelleriella,Coleophora zelleriella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cydia coniferana,Cydia coniferana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cydia funebrana,Cydia funebrana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cydia medicaginis,Cydia medicaginis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cymolomia hartigiana,Cymolomia hartigiana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyphon laevipennis,Cyphon laevipennis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyphon variabilis,Cyphon variabilis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dasytes aerosus,Dasytes aerosus,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dinaraea angustula,Dinaraea angustula,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dypterygia scabriuscula,Dypterygia scabriuscula,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eilema complana,Eilema complana,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eilema lutarella,Eilema lutarella,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enochrus bicolor,Enochrus bicolor,SPECIES,Animalia,NA,150756,Enochrus bicolor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enochrus fuscipennis,Enochrus fuscipennis,SPECIES,Animalia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
